Direccion,Numero,Activo,Bicis_disponibles,Espacios_libres,Espacios_totales,ticket,fecha_actualizacion,geo_shape,geo_point_2d,distritos
Fontanars dels Aforins - Vall d'Uixó,198,T,5,15,20,T,16/06/2023 16:09:04,"{""coordinates"": [-0.395316462028443, 39.46088029740053], ""type"": ""Point""}","39.46088029740053, -0.395316462028443",Patraix
Rubén Darío - Plaza Fray Luis Colomer,103,T,13,2,15,F,16/06/2023 16:09:04,"{""coordinates"": [-0.3523713017453889, 39.47845333567255], ""type"": ""Point""}","39.47845333567255, -0.3523713017453889",Algiros
UPV Galileo,111,T,17,13,30,F,16/06/2023 16:09:04,"{""coordinates"": [-0.3395082613341325, 39.48066419504159], ""type"": ""Point""}","39.48066419504159, -0.3395082613341325",Algiros
UPV Caminos,113,T,34,4,38,T,16/06/2023 16:09:04,"{""coordinates"": [-0.3436112694462359, 39.48127634089521], ""type"": ""Point""}","39.48127634089521, -0.3436112694462359",Algiros
Gascó Oliag - Primado Reig,117,T,0,0,30,T,16/06/2023 16:09:04,"{""coordinates"": [-0.357065317141581, 39.47925133992885], ""type"": ""Point""}","39.47925133992885, -0.357065317141581",El Pla del Real
Albocácer - Vinaroz,123,T,17,3,20,F,16/06/2023 16:09:04,"{""coordinates"": [-0.36484133609518726, 39.487671371814656], ""type"": ""Point""}","39.487671371814656, -0.36484133609518726",Rascanya
"Masquefa, 42 - 44",125,T,13,2,15,F,16/06/2023 16:09:04,"{""coordinates"": [-0.3586183142345537, 39.489693375775445], ""type"": ""Point""}","39.489693375775445, -0.3586183142345537",Benimaclet
Alfahuir - Duque de Mandas,127,T,20,0,20,F,16/06/2023 16:09:04,"{""coordinates"": [-0.3644463333304693, 39.49059138177909], ""type"": ""Point""}","39.49059138177909, -0.3644463333304693",Rascanya
Albalat dels Tarongers - Professor Ernest Lluch,106,T,15,10,25,F,16/06/2023 16:09:04,"{""coordinates"": [-0.34138726522688073, 39.47674432466283], ""type"": ""Point""}","39.47674432466283, -0.34138726522688073",Algiros
UPV Informática,114,T,30,0,30,F,16/06/2023 16:09:04,"{""coordinates"": [-0.346591279156021, 39.4818043438759], ""type"": ""Point""}","39.4818043438759, -0.346591279156021",Algiros
Doctor Vicente Zaragozá - Ramón Asensio,116,T,15,0,15,T,16/06/2023 16:09:04,"{""coordinates"": [-0.3575613154471814, 39.48325335356676], ""type"": ""Point""}","39.48325335356676, -0.3575613154471814",Benimaclet
Gómez Ferrer - Álvaro de Bazán,118,T,16,4,20,F,16/06/2023 16:09:04,"{""coordinates"": [-0.3604163266878076, 39.480466345728246], ""type"": ""Point""}","39.480466345728246, -0.3604163266878076",El Pla del Real
Músico Hipólito Martínez - Diógenes López Mecho,122,T,14,1,15,F,16/06/2023 16:09:04,"{""coordinates"": [-0.3540663028794564, 39.48448535604776], ""type"": ""Point""}","39.48448535604776, -0.3540663028794564",Benimaclet
Azagador de Alboraya - Dolores Marqués,124,T,8,16,25,T,16/06/2023 16:09:04,"{""coordinates"": [-0.3619553259600363, 39.48850137319014], ""type"": ""Point""}","39.48850137319014, -0.3619553259600363",Benimaclet
