id;Empresa;objectid;zona;ubicacion;distrito;barrio;geo_shape;geo_point_2d
43;ASOCIACION LA CASA GRANDE;2562;1;C/ NICOLAU PRIMITIU GÓMEZ SERRANO, 5;8;082;"{""coordinates"": [-0.4031710437911377, 39.456430484177794], ""type"": ""Point""}";39.456430484177794, -0.4031710437911377
46;ASOCIACION LA CASA GRANDE;2565;3;AV PORT, 261;11;111;"{""coordinates"": [-0.33598837862232395, 39.46102690233695], ""type"": ""Point""}";39.46102690233695, -0.33598837862232395
47;ASOCIACION LA CASA GRANDE;2566;3;C/ DOCTOR LLUCH - C/ MEDITERRÀNIA;11;112;"{""coordinates"": [-0.3283162176711059, 39.46714788734965], ""type"": ""Point""}";39.46714788734965, -0.3283162176711059
49;ASOCIACION LA CASA GRANDE;2568;2;C/ SANTS JUST I PASTORS - C/ INDÚSTRIA;12;121;"{""coordinates"": [-0.34166924664083104, 39.467722011186325], ""type"": ""Point""}";39.467722011186325, -0.34166924664083104
53;ASOCIACION EL RASTRELL;2572;1;C/ CUBA - C/ LITERAT AZORÍN;2;021;"{""coordinates"": [-0.375564875030962, 39.459990474820565], ""type"": ""Point""}";39.459990474820565, -0.375564875030962
55;ASOCIACION EL RASTRELL;2574;1;C/ MÚSIC AYLLÓN - C/ ARXIDUC CARLES;7;073;"{""coordinates"": [-0.39509246135273224, 39.465204482022884], ""type"": ""Point""}";39.465204482022884, -0.39509246135273224
59;ASOCIACION EL RASTRELL;2578;1;AV CID - C/ SANTA CRUZ DE TENERIFE;7;073;"{""coordinates"": [-0.39983001461743517, 39.46844564868344], ""type"": ""Point""}";39.46844564868344, -0.39983001461743517
66;ASOCIACION EL RASTRELL;2585;2;AV PORT, 46;12;124;"{""coordinates"": [-0.3561181938203634, 39.46683780600386], ""type"": ""Point""}";39.46683780600386, -0.3561181938203634
67;ASOCIACION EL RASTRELL;2586;2;C/ MISTRAL - C/ GRESES;14;141;"{""coordinates"": [-0.3573271521761667, 39.487906985466026], ""type"": ""Point""}";39.487906985466026, -0.3573271521761667
68;ASOCIACION EL RASTRELL;2587;1;C/ JOSÉ ANDREU ALABARTA, 34;8;082;"{""coordinates"": [-0.40362528494726063, 39.452026293738164], ""type"": ""Point""}";39.452026293738164, -0.40362528494726063
69;ASOCIACION EL RASTRELL;2588;1;C/ TRES FORQUES, 69;8;083;"{""coordinates"": [-0.39531635096715495, 39.46387619321852], ""type"": ""Point""}";39.46387619321852, -0.39531635096715495
71;ASOCIACION EL RASTRELL;2590;3;C/ MARTÍ GRAJALES (PORTA PRINCIPAL MERCAT CABANYAL);11;112;"{""coordinates"": [-0.33347973765049577, 39.46822281572635], ""type"": ""Point""}";39.46822281572635, -0.33347973765049577
72;ASOCIACION EL RASTRELL;2591;3;C/ BEAT JUAN GRANDE, 40;11;113;"{""coordinates"": [-0.329656561959525, 39.47969892587506], ""type"": ""Point""}";39.47969892587506, -0.329656561959525
73;ASOCIACION EL RASTRELL;2592;2;AV BALEARS, 40;12;123;"{""coordinates"": [-0.3514497924579129, 39.46183073331761], ""type"": ""Point""}";39.46183073331761, -0.3514497924579129
