Id;Estacion;Fecha;Dia de la semana;Dia;Mes;Anyo;PM10;NO;NO2;O3;SO2
11764;Pista Silla;29/08/2012;Miercoles;29;8;2012;39.0;;;;
33788;Avda. Francia;20/08/2020;Jueves;20;8;2020;9.0;1.0;11.0;76.0;4.0
33792;Politecnico;20/08/2020;Jueves;20;8;2020;12.0;2.0;11.0;63.0;3.0
11775;Avda. Francia;31/08/2012;Viernes;31;8;2012;8.0;4.0;10.0;60.0;
33799;Moli del Sol;21/08/2020;Viernes;21;8;2020;8.0;2.0;11.0;56.0;3.0
11777;Moli del Sol;31/08/2012;Viernes;31;8;2012;15.0;4.0;19.0;64.0;3.0
11778;Pista Silla;31/08/2012;Viernes;31;8;2012;24.0;13.0;37.0;47.0;4.0
33806;Avda. Francia;22/08/2020;Sabado;22;8;2020;11.0;1.0;9.0;60.0;3.0
33808;Moli del Sol;22/08/2020;Sabado;22;8;2020;14.0;2.0;7.0;45.0;3.0
11793;Politecnico;09/02/2012;Domingo;9;2;2012;16.0;1.0;8.0;92.0;5.0
33810;Politecnico;22/08/2020;Sabado;22;8;2020;18.0;1.0;6.0;52.0;3.0
33815;Avda. Francia;23/08/2020;Domingo;23;8;2020;11.0;1.0;9.0;57.0;3.0
11807;Politecnico;09/04/2012;Martes;9;4;2012;24.0;5.0;14.0;90.0;6.0
11808;Viveros;09/04/2012;Martes;9;4;2012;22.0;3.0;28.0;;1.0
33818;Pista Silla;23/08/2020;Domingo;23;8;2020;13.0;5.0;13.0;59.0;5.0
33826;Moli del Sol;24/08/2020;Lunes;24;8;2020;7.0;4.0;11.0;51.0;3.0
11812;Moli del Sol;09/05/2012;Miercoles;9;5;2012;18.0;7.0;23.0;78.0;3.0
33827;Pista Silla;24/08/2020;Lunes;24;8;2020;11.0;8.0;18.0;62.0;6.0
11814;Politecnico;09/05/2012;Miercoles;9;5;2012;19.0;2.0;12.0;93.0;5.0
11822;Viveros;09/06/2012;Jueves;9;6;2012;;5.0;28.0;;1.0
33836;Pista Silla;25/08/2020;Martes;25;8;2020;11.0;9.0;17.0;64.0;5.0
33837;Politecnico;25/08/2020;Martes;25;8;2020;16.0;1.0;7.0;53.0;3.0
11829;Viveros;09/07/2012;Viernes;9;7;2012;20.0;4.0;31.0;;1.0
33838;Viveros;25/08/2020;Martes;25;8;2020;23.0;;;;
11836;Viveros;09/08/2012;Sabado;9;8;2012;29.0;2.0;22.0;;1.0
33851;Avda. Francia;27/08/2020;Jueves;27;8;2020;10.0;2.0;13.0;62.0;4.0
11838;Avda. Francia;09/09/2012;Domingo;9;9;2012;25.0;;;85.0;2.0
33853;Moli del Sol;27/08/2020;Jueves;27;8;2020;9.0;4.0;14.0;57.0;3.0
33854;Pista Silla;27/08/2020;Jueves;27;8;2020;11.0;11.0;22.0;62.0;4.0
33855;Politecnico;27/08/2020;Jueves;27;8;2020;14.0;2.0;9.0;54.0;3.0
11848;Pista Silla;09/10/2012;Lunes;9;10;2012;50.0;14.0;38.0;60.0;2.0
11849;Politecnico;09/10/2012;Lunes;9;10;2012;34.0;0.0;14.0;89.0;5.0
33860;Avda. Francia;28/08/2020;Viernes;28;8;2020;9.0;1.0;10.0;67.0;4.0
11855;Pista Silla;09/11/2012;Martes;9;11;2012;56.0;15.0;43.0;52.0;2.0
33862;Moli del Sol;28/08/2020;Viernes;28;8;2020;13.0;4.0;15.0;59.0;3.0
11857;Viveros;09/11/2012;Martes;9;11;2012;;4.0;22.0;63.0;2.0
33889;Moli del Sol;31/08/2020;Lunes;31;8;2020;3.0;2.0;12.0;60.0;3.0
33892;Viveros;31/08/2020;Lunes;31;8;2020;19.0;4.0;20.0;64.0;3.0
11877;Politecnico;14/09/2012;Viernes;14;9;2012;23.0;3.0;21.0;68.0;8.0
11880;Avda. Francia;15/09/2012;Sabado;15;9;2012;13.0;7.0;28.0;56.0;1.0
33896;Avda. Francia;09/01/2020;Martes;9;1;2020;8.0;2.0;13.0;57.0;4.0
33899;Pista Silla;09/01/2020;Martes;9;1;2020;10.0;11.0;28.0;58.0;3.0
33900;Politecnico;09/01/2020;Martes;9;1;2020;8.0;1.0;10.0;60.0;3.0
11892;Viveros;16/09/2012;Domingo;16;9;2012;27.0;4.0;20.0;57.0;2.0
33908;Pista Silla;09/02/2020;Miercoles;9;2;2020;8.0;9.0;23.0;73.0;3.0
33909;Politecnico;09/02/2020;Miercoles;9;2;2020;8.0;2.0;7.0;67.0;3.0
