Tipus / Tipo;Centre / Centro;Adreça / Direccion;Districte / Distrito;Barri / Barrio;Piles / Pilas;objectid;linkid;Zona;Observació / Observación;Codi / Código;geo_shape;geo_point_2d
09-UNIVERSIDAD POPULAR;UP RUZAFA;C/. DÃ¿NIA, 39;2;021;1;314;;;;UP02;"{""coordinates"": [-0.37516603309039276, 39.46291377098341], ""type"": ""Point""}";39.46291377098341, -0.37516603309039276
02-CM_PERSONAS MAYORES;"CM ACTIVIDADES PERSONAS MAYORES ""ARRANCAPINS""";C/. HISTORIADOR DIAGO, 6-8;3;034;1;316;;;;MA02;"{""coordinates"": [-0.38378188262656665, 39.46756431890583], ""type"": ""Point""}";39.46756431890583, -0.38378188262656665
01-MERCADO;MERCADO DEL CABAÃ¿AL;C/. JUST VILAR;11;112;1;322;;;;ME12;"{""coordinates"": [-0.3332365554466184, 39.46752947946979], ""type"": ""Point""}";39.46752947946979, -0.3332365554466184
00-DEPENDENCIAS MUNICIPALES;JUNTA MUNICIPAL EXPOSICION;C/. GUÃ¿RDIA CIVIL, 19;14;141;1;331;;;;DM10;"{""coordinates"": [-0.35762478739039, 39.48247030818537], ""type"": ""Point""}";39.48247030818537, -0.35762478739039
00-DEPENDENCIAS MUNICIPALES;CONSULTORIO AUXILIAR BARRI LA PUNTA;AV. JESÃ¿S MORANTE BORRÃS, 176;10;106;1;339;;;;DM14;"{""coordinates"": [-0.34391832975438835, 39.442560553374506], ""type"": ""Point""}";39.442560553374506, -0.34391832975438835
04-CENTRO EDUCATIVO;COLEGIO PUBLICO PARE CATALA;C/. PARE ALEGRE, 20-22;14;141;1;340;;;;ED32;"{""coordinates"": [-0.35530345185088663, 39.484245409996824], ""type"": ""Point""}";39.484245409996824, -0.35530345185088663
04-CENTRO EDUCATIVO;CEIP LES ARENES;C/. CASES DE LANUZA, 4;11;112;1;343;;;;ED44;"{""coordinates"": [-0.32725028636107073, 39.467251471799834], ""type"": ""Point""}";39.467251471799834, -0.32725028636107073
04-CENTRO EDUCATIVO;COLEGIO SAGRADO CORAZON;C/. SALAMANCA, 45;2;023;1;345;;;;ED07;"{""coordinates"": [-0.36310511001195234, 39.46481306502519], ""type"": ""Point""}";39.46481306502519, -0.36310511001195234
04-CENTRO EDUCATIVO;INSTITUTO SAN VICENTE FERRER;C/. ALMIRALL CADARSO, 20-22;2;023;1;346;;;;ED08;"{""coordinates"": [-0.36716599045615206, 39.46393950064771], ""type"": ""Point""}";39.46393950064771, -0.36716599045615206
01-MERCADO;MERCADO DE CASTILLA;C/. JOSEP MAESTRE, 13;7;073;1;354;;;;ME05;"{""coordinates"": [-0.4033580601893508, 39.46543877009847], ""type"": ""Point""}";39.46543877009847, -0.4033580601893508
09-UNIVERSIDAD POPULAR;UP ORRIOLS;C/. SANTIAGO RUSIÃ¿OL, 13;15;151;1;355;;;;UP10;"{""coordinates"": [-0.3692153689163339, 39.497077995931726], ""type"": ""Point""}";39.497077995931726, -0.3692153689163339
08-VARIOS;VALÃ¿NCIA ACTIVA-CENTRO MALILLA;C/. PIANISTA EMPAR ITURBI, 60;10;103;1;358;;;;VA06;"{""coordinates"": [-0.3786468334452253, 39.45404136582952], ""type"": ""Point""}";39.45404136582952, -0.3786468334452253
